months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
235,42,543610,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,other-relative,1/6/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,Northbend,22,1,YES,2,?,87010,7910,15820,63280,Ford,F150,2002,N
447,61,214618,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,2/15/2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Springfield,21,3,YES,1,YES,114920,17680,17680,79560,Audi,A3,2006,N
60,23,842643,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,reading,wife,1/22/2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,Northbend,9,1,YES,1,NO,56520,4710,9420,42390,Saab,95,2000,N
121,34,626808,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,wife,1/8/2015,Parked Car,?,Minor Damage,SC,Springfield,5,1,NO,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N
180,38,644081,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,not-in-family,1/15/2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,Springfield,12,1,NO,0,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y
473,58,892874,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,1/29/2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Hillsdale,12,4,YES,0,NO,63120,10520,10520,42080,Accura,MDX,1999,Y
70,26,558938,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,own-child,2/22/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Riverwood,0,3,?,1,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N
140,31,275265,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,unmarried,1/6/2015,Single Vehicle Collision,Side Collision,Total Loss,WV,Northbend,9,1,NO,0,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N
160,37,921202,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,yachting,other-relative,1/19/2015,Single Vehicle Collision,Side Collision,Total Loss,NY,Northbrook,19,1,YES,1,NO,72930,6630,13260,53040,Accura,TL,2015,N
196,39,143972,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,2/22/2015,Multi-vehicle Collision,Side Collision,Major Damage,VA,Columbus,8,3,?,2,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N
460,62,183430,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,1/1/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,20,3,NO,1,?,47160,0,5240,41920,Suburu,Impreza,2011,N
217,41,431876,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,2/10/2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,15,3,?,1,?,37840,0,4730,33110,Accura,RSX,1996,N
370,55,285496,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,paintball,other-relative,1/11/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Hillsdale,20,3,NO,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y
413,55,115399,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,1/19/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbend,15,1,?,2,?,98160,8180,16360,73620,Dodge,RAM,2011,Y
237,40,736882,IN,100/300,1000,883.31,0,MALE,College,craft-repair,kayaking,husband,2/24/2015,Single Vehicle Collision,Rear Collision,Minor Damage,VA,Riverwood,6,1,NO,1,NO,77880,7080,14160,56640,Ford,Escape,2005,N
8,35,699044,OH,100/300,2000,1266.92,0,MALE,Masters,sales,polo,own-child,1/9/2015,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Arlington,16,3,NO,1,YES,71500,16500,11000,44000,Ford,Escape,2006,Y
257,43,863236,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,golf,own-child,1/28/2015,Parked Car,?,Minor Damage,PA,Arlington,4,1,YES,1,YES,9020,1640,820,6560,Toyota,Camry,2005,N
202,34,608513,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,not-in-family,1/7/2015,Vehicle Theft,?,Minor Damage,VA,Northbrook,5,1,YES,2,?,5720,1040,520,4160,Suburu,Forrestor,2003,Y
224,40,914088,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,kayaking,not-in-family,1/8/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,21,1,NO,1,YES,69840,7760,15520,46560,Dodge,Neon,2009,N
241,45,596785,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,2/15/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbrook,5,1,NO,2,NO,91650,14100,14100,63450,Accura,TL,2011,N
64,25,908616,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,1/18/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,22,4,NO,0,?,75600,12600,12600,50400,Toyota,Corolla,2005,N
166,37,666333,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,2/28/2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Riverwood,10,3,NO,2,?,67140,7460,7460,52220,Ford,F150,2006,Y
155,35,336614,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,2/24/2015,Multi-vehicle Collision,Front Collision,Total Loss,NY,Arlington,16,3,YES,2,NO,29790,3310,3310,23170,BMW,3 Series,2008,N
114,30,584859,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,1/9/2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,Hillsdale,1,3,NO,1,?,77110,14020,14020,49070,Suburu,Impreza,2015,N
149,37,990493,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,2/12/2015,Single Vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,17,1,YES,0,YES,64800,10800,5400,48600,Audi,A3,1999,N
147,33,129872,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,1/24/2015,Single Vehicle Collision,Front Collision,Major Damage,WV,Springfield,15,1,YES,2,YES,53100,10620,5310,37170,Mercedes,C300,1995,Y
62,28,200152,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,1/9/2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,Northbrook,3,1,?,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,Y
289,49,933293,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,1/18/2015,Parked Car,?,Minor Damage,WV,Arlington,16,1,NO,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,N
431,54,485664,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,1/21/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Hillsdale,4,3,?,2,?,62300,12460,6230,43610,Jeep,Wrangler,2007,N
199,37,982871,IN,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,wife,1/8/2015,Single Vehicle Collision,Front Collision,Major Damage,NC,Columbus,4,1,?,0,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y
79,26,206213,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,1/3/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Columbus,19,1,NO,2,?,40000,8000,4000,28000,BMW,M5,2010,N
116,34,616337,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,1/1/2015,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbrook,1,1,?,1,?,97080,16180,16180,64720,BMW,X5,2001,Y
37,23,448961,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,1/16/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Springfield,17,3,YES,1,NO,51660,5740,5740,40180,Dodge,RAM,2010,N
106,30,790442,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,2/10/2015,Single Vehicle Collision,Rear Collision,Total Loss,NC,Arlington,23,1,NO,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,N
269,44,108844,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,2/14/2015,Single Vehicle Collision,Front Collision,Minor Damage,SC,Springfield,14,1,YES,0,?,56400,11280,11280,33840,Toyota,Highlander,2014,N
265,40,430029,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,2/21/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Arlington,17,3,NO,2,?,55120,6890,0,48230,Accura,MDX,2002,N
163,33,529112,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,2/18/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NC,Northbend,11,3,YES,1,?,77110,0,14020,63090,Honda,Civic,2014,N
355,47,939631,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,1/10/2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Arlington,19,3,NO,2,NO,62800,6280,6280,50240,Audi,A3,2003,Y
175,34,866931,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,2/26/2015,Vehicle Theft,?,Trivial Damage,NY,Arlington,5,1,?,2,YES,7290,810,810,5670,Volkswagen,Passat,1995,N
192,35,582011,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,1/1/2015,Single Vehicle Collision,Rear Collision,Total Loss,WV,Springfield,19,1,NO,0,?,76600,15320,7660,53620,Mercedes,C300,2000,N
430,59,691189,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,1/3/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Riverwood,19,3,?,0,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N
91,27,537546,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,1/17/2015,Vehicle Theft,?,Trivial Damage,NY,Arlington,4,1,?,1,?,7260,1320,660,5280,BMW,M5,2008,N
217,39,394975,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,2/22/2015,Vehicle Theft,?,Minor Damage,WV,Northbend,8,1,?,2,YES,4300,430,430,3440,Toyota,Corolla,2000,N
223,40,729634,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,1/27/2015,Multi-vehicle Collision,Side Collision,Major Damage,NC,Columbus,7,3,YES,1,?,70510,12820,12820,44870,Suburu,Forrestor,1999,N
195,39,282195,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,2/27/2015,Parked Car,?,Minor Damage,VA,Northbend,5,1,NO,0,YES,2640,480,480,1680,Ford,F150,2009,N
22,26,420810,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,1/6/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,3,1,YES,1,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N
439,56,524836,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,2/28/2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Columbus,12,3,?,2,?,56430,0,6270,50160,Honda,CRV,2014,N
94,32,307195,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,2/22/2015,Parked Car,?,Minor Damage,VA,Riverwood,19,1,NO,1,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N
11,39,623648,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,1/7/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Riverwood,22,1,YES,0,NO,65790,7310,7310,51170,Saab,93,2007,N
151,36,485372,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,1/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Hillsdale,12,3,NO,1,NO,62920,11440,5720,45760,Ford,Escape,2000,N
154,34,598554,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,1/10/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Springfield,15,3,YES,2,?,69480,15440,0,54040,Nissan,Maxima,2014,Y
245,44,303987,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,2/11/2015,Multi-vehicle Collision,Side Collision,Total Loss,OH,Springfield,23,3,NO,0,NO,44280,7380,3690,33210,Honda,Accord,1997,N
119,32,343161,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,1/12/2015,Single Vehicle Collision,Side Collision,Minor Damage,WV,Hillsdale,12,1,NO,0,YES,56300,5630,11260,39410,BMW,M5,2011,N
215,42,519312,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,2/6/2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Northbend,20,3,YES,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003,Y
295,42,132902,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,1/20/2015,Multi-vehicle Collision,Rear Collision,Total Loss,VA,Riverwood,16,3,NO,0,NO,59130,6570,6570,45990,Ford,Escape,2006,Y
254,39,332867,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,2/22/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Arlington,6,3,YES,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,Y
107,31,356590,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,12,1,YES,0,NO,89700,13800,13800,62100,Audi,A5,2009,Y
478,64,346002,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,2/2/2015,Multi-vehicle Collision,Side Collision,Minor Damage,WV,Hillsdale,17,3,NO,1,NO,33930,0,3770,30160,BMW,X6,1998,N
128,30,500533,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,1/10/2015,Single Vehicle Collision,Front Collision,Major Damage,WV,Northbrook,8,1,NO,0,NO,68530,12460,6230,49840,Audi,A5,1997,N
338,49,348209,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,2/27/2015,Parked Car,?,Minor Damage,NC,Riverwood,13,1,NO,0,?,4300,860,860,2580,Ford,F150,2004,N
271,42,486676,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,2/20/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Hillsdale,12,2,?,2,?,68310,12420,6210,49680,Audi,A3,2003,Y
222,41,260845,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,2/8/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbrook,7,1,NO,0,NO,61290,6810,6810,47670,Honda,Civic,1995,Y
199,41,657045,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,2/11/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NC,Arlington,10,1,NO,1,NO,30100,3010,0,27090,Chevrolet,Malibu,1999,N
215,37,761189,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,2/23/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Riverwood,7,3,NO,2,YES,57120,9520,4760,42840,Mercedes,C300,2002,N
192,40,175177,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,3/1/2015,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Springfield,18,3,YES,1,YES,42930,9540,4770,28620,BMW,X6,2005,N
120,35,116700,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,1/15/2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,Riverwood,22,3,NO,2,NO,51210,11380,5690,34140,Ford,Fusion,2010,N
270,45,166264,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,1/14/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,18,3,NO,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998,N
319,47,527945,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,2/17/2015,Multi-vehicle Collision,Front Collision,Total Loss,WV,Northbrook,22,3,NO,0,?,59730,10860,10860,38010,Audi,A3,2005,N
194,39,627540,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,wife,1/24/2015,Vehicle Theft,?,Minor Damage,SC,Springfield,15,1,YES,2,YES,8060,1240,1240,5580,Saab,95,2004,N
227,38,279422,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,unmarried,1/21/2015,Single Vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,16,1,?,1,?,72200,14440,7220,50540,BMW,M5,2013,Y
137,31,484200,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,paintball,husband,2/19/2015,Multi-vehicle Collision,Side Collision,Minor Damage,NC,Arlington,6,3,NO,1,NO,50800,10160,10160,30480,Accura,MDX,2005,N
244,40,645258,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,video-games,wife,1/3/2015,Vehicle Theft,?,Trivial Damage,NC,Northbrook,10,1,?,2,?,6600,660,1320,4620,Accura,TL,2005,N
78,29,694662,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,other-relative,1/29/2015,Vehicle Theft,?,Minor Damage,NY,Northbrook,3,1,YES,2,NO,7500,750,1500,5250,Nissan,Maxima,2002,N
200,35,960680,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,video-games,wife,1/19/2015,Vehicle Theft,?,Trivial Damage,VA,Hillsdale,13,1,NO,0,YES,6490,1180,1180,4130,Volkswagen,Jetta,2002,N
284,48,498140,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,movies,not-in-family,1/19/2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,Hillsdale,16,2,?,2,NO,60940,5540,11080,44320,Audi,A3,2013,Y
275,41,498875,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,board-games,own-child,2/2/2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,Northbrook,13,3,YES,0,?,58300,5830,11660,40810,Suburu,Legacy,2007,N
153,34,798177,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,husband,1/30/2015,Multi-vehicle Collision,Front Collision,Minor Damage,SC,Columbus,9,3,NO,2,?,68400,11400,11400,45600,Ford,F150,2007,N
134,32,614763,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,yachting,own-child,1/8/2015,Single Vehicle Collision,Side Collision,Total Loss,VA,Springfield,2,1,?,2,YES,64240,11680,11680,40880,BMW,3 Series,2015,N
31,36,679370,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,not-in-family,1/30/2015,Parked Car,?,Trivial Damage,WV,Arlington,9,1,NO,0,YES,4700,940,470,3290,Dodge,Neon,2002,N
41,25,958857,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,not-in-family,1/7/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,12,3,YES,2,?,45120,0,5640,39480,Accura,MDX,2011,Y
127,29,686816,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,board-games,own-child,2/24/2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,Arlington,12,2,YES,1,?,66950,10300,10300,46350,Saab,93,1995,N
61,23,127754,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,own-child,2/2/2015,Single Vehicle Collision,Side Collision,Major Damage,NY,Columbus,14,1,NO,0,?,98340,8940,17880,71520,Honda,Accord,2004,Y
207,42,918629,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,yachting,own-child,2/28/2015,Parked Car,?,Trivial Damage,WV,Springfield,9,1,NO,0,NO,5900,590,590,4720,BMW,X5,2007,N
219,43,731450,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,exercise,not-in-family,2/9/2015,Multi-vehicle Collision,Front Collision,Major Damage,NC,Riverwood,3,3,NO,1,?,70680,5890,11780,53010,Ford,Fusion,2009,N
271,42,307447,IL,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,hiking,not-in-family,1/19/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Northbend,21,3,NO,1,NO,93720,17040,8520,68160,Mercedes,ML350,2005,N
80,25,992145,IL,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,exercise,husband,2/21/2015,Vehicle Theft,?,Minor Damage,OH,Northbrook,5,1,NO,2,YES,6930,1260,630,5040,Toyota,Highlander,2001,N
325,47,900628,IN,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,hiking,not-in-family,1/14/2015,Single Vehicle Collision,Side Collision,Major Damage,VA,Springfield,11,1,YES,0,NO,72930,6630,6630,59670,Dodge,RAM,2006,Y
29,25,235220,IL,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,skydiving,own-child,1/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Hillsdale,4,4,YES,1,YES,64890,7210,7210,50470,Nissan,Pathfinder,2013,Y
295,48,740019,OH,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,kayaking,wife,2/22/2015,Parked Car,?,Trivial Damage,WV,Columbus,6,1,?,1,YES,5400,900,900,3600,Saab,95,1999,N
239,42,246882,IL,100/300,1000,969.5,0,MALE,College,exec-managerial,reading,not-in-family,1/26/2015,Vehicle Theft,?,Trivial Damage,NC,Northbrook,10,1,NO,0,?,5600,700,700,4200,Audi,A3,2007,N
269,41,797613,IN,100/300,500,1463.82,0,FEMALE,College,protective-serv,yachting,not-in-family,1/24/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbend,23,1,YES,0,?,79300,15860,15860,47580,Saab,92x,2007,N
80,27,193442,IL,100/300,1000,1474.17,0,FEMALE,College,tech-support,exercise,unmarried,2/19/2015,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbend,13,1,YES,1,YES,52800,10560,5280,36960,Saab,95,2004,N
279,41,389238,IL,250/500,500,1497.35,0,FEMALE,JD,prof-specialty,bungie-jumping,husband,1/29/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NC,Northbrook,16,3,?,2,NO,28800,0,3600,25200,Ford,Fusion,2013,N
165,33,760179,OH,100/300,1000,1427.14,0,FEMALE,Associate,tech-support,kayaking,other-relative,2/15/2015,Parked Car,?,Minor Damage,WV,Northbend,3,1,NO,1,NO,2970,330,330,2310,Toyota,Highlander,2008,N
350,54,939905,OH,500/1000,500,1495.1,0,MALE,College,other-service,basketball,wife,2/12/2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Northbend,15,3,NO,0,?,93480,15580,7790,70110,Chevrolet,Malibu,2014,N
295,49,872814,IL,100/300,500,1141.62,0,MALE,College,prof-specialty,kayaking,husband,1/1/2015,Vehicle Theft,?,Minor Damage,WV,Columbus,4,1,YES,1,YES,4320,480,480,3360,Mercedes,E400,2002,N
464,61,632627,OH,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,basketball,husband,1/13/2015,Multi-vehicle Collision,Rear Collision,Major Damage,VA,Northbend,6,3,?,0,YES,79800,6650,19950,53200,Saab,95,2000,Y
118,28,283414,IN,500/1000,2000,1207.36,0,FEMALE,High School,handlers-cleaners,camping,own-child,3/1/2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Columbus,22,2,NO,1,?,74200,7420,14840,51940,Volkswagen,Passat,1997,N
298,47,163161,IL,500/1000,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,basketball,other-relative,2/2/2015,Single Vehicle Collision,Front Collision,Major Damage,NY,Northbrook,1,1,?,0,?,70590,10860,10860,48870,Saab,93,2000,Y
87,31,853360,IN,500/1000,1000,1074.07,0,FEMALE,Masters,sales,chess,husband,1/27/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Springfield,16,3,NO,0,YES,60940,5540,11080,44320,Nissan,Ultima,2006,Y
